drug1,drug2,label
asenapine,acenocoumarol,1
asenapine,acetazolamide,1
asenapine,albendazole,1
asenapine,alprazolam,1
asenapine,aminophylline,1
asenapine,amisulpride,1
asenapine,amitriptyline,1
asenapine,amlodipine,1
asenapine,amodiaquine,1
asenapine,amoxapine,1
asenapine,apomorphine,1
asenapine,aripiprazole,1
asenapine,artemether,1
atenolol,acarbose,1
atenolol,amifostine,1
atenolol,aminophylline,1
atenolol,amitriptyline,1
atenolol,amlodipine,1
atenolol,amodiaquine,1
atenolol,amoxapine,1
atenolol,apomorphine,1
atenolol,aripiprazole,1
atenolol,asenapine,1
atovaquone,acenocoumarol,1
atovaquone,amitriptyline,1
atovaquone,artemether,1
atropine,acetazolamide,1
atropine,alprazolam,1
atropine,amisulpride,1
atropine,amitriptyline,1
atropine,amlodipine,1
atropine,amodiaquine,1
atropine,amoxapine,1
atropine,apomorphine,1
atropine,aripiprazole,1
atropine,artemether,1
atropine,asenapine,1
atropine,atenolol,1
auranofin,acarbose,1
auranofin,acetazolamide,1
auranofin,allopurinol,1
auranofin,alprazolam,1
auranofin,amikacin,1
auranofin,amitriptyline,1
auranofin,amoxicillin,1
azacitidine,acarbose,1
azacitidine,acenocoumarol,1
azacitidine,acetazolamide,1
azacitidine,allopurinol,1
azacitidine,alprazolam,1
azacitidine,amikacin,1
azacitidine,amitriptyline,1
azacitidine,amoxicillin,1
azacitidine,amsacrine,1
azacitidine,auranofin,1
azithromycin,acenocoumarol,1
azithromycin,acetazolamide,1
azithromycin,albendazole,1
azithromycin,aminophylline,1
azithromycin,amisulpride,1
azithromycin,amitriptyline,1
azithromycin,amodiaquine,1
azithromycin,amoxapine,1
azithromycin,apomorphine,1
azithromycin,aprepitant,1
azithromycin,aripiprazole,1
azithromycin,artemether,1
azithromycin,asenapine,1
azithromycin,atropine,1
aztreonam,acarbose,1
aztreonam,acenocoumarol,1
aztreonam,acetazolamide,1
aztreonam,allopurinol,1
aztreonam,alprazolam,1
aztreonam,amikacin,1
aztreonam,amitriptyline,1
aztreonam,amoxicillin,1
aztreonam,auranofin,1
aztreonam,azacitidine,1
bacitracin,acarbose,1
bacitracin,acenocoumarol,1
bacitracin,allopurinol,1
bacitracin,alprazolam,1
bacitracin,amikacin,1
bacitracin,amitriptyline,1
bacitracin,amoxicillin,1
bacitracin,auranofin,1
bacitracin,azacitidine,1
bacitracin,aztreonam,1
baclofen,acarbose,1
baclofen,acetazolamide,1
baclofen,allopurinol,1
baclofen,alprazolam,1
baclofen,amikacin,1
baclofen,amisulpride,1
baclofen,amitriptyline,1
baclofen,amlodipine,1
baclofen,amoxapine,1
baclofen,amoxicillin,1
baclofen,apomorphine,1
baclofen,aripiprazole,1
baclofen,asenapine,1
baclofen,atenolol,1
baclofen,atropine,1
baclofen,auranofin,1
baclofen,azacitidine,1
baclofen,aztreonam,1
baclofen,bacitracin,1
benperidol,acetazolamide,1
benperidol,alprazolam,1
benperidol,amisulpride,1
benperidol,amitriptyline,1
benperidol,amoxapine,1
benperidol,apomorphine,1
benperidol,aripiprazole,1
benperidol,asenapine,1
benperidol,atropine,1
benperidol,baclofen,1
benserazide,acarbose,1
benserazide,acetazolamide,1
benserazide,allopurinol,1
benserazide,alprazolam,1
benserazide,amikacin,1
benserazide,amisulpride,1
benserazide,amitriptyline,1
benserazide,amoxicillin,1
benserazide,aripiprazole,1
benserazide,asenapine,1
benserazide,auranofin,1
benserazide,azacitidine,1
benserazide,aztreonam,1
benserazide,bacitracin,1
benserazide,baclofen,1
bepridil,acarbose,1
bepridil,amifostine,1
bepridil,amisulpride,1
bepridil,amitriptyline,1
bepridil,amlodipine,1
bepridil,amodiaquine,1
bepridil,amoxapine,1
bepridil,apomorphine,1
bepridil,aripiprazole,1
bepridil,artemether,1
bepridil,asenapine,1
bepridil,atenolol,1
bepridil,atropine,1
bepridil,azithromycin,1
bepridil,baclofen,1
betahistine,amitriptyline,1
betahistine,amoxapine,1
betahistine,aripiprazole,1
betahistine,asenapine,1
betamethasone,acarbose,1
betamethasone,acenocoumarol,1
betamethasone,albendazole,1
betamethasone,alprazolam,1
betamethasone,aminophylline,1
betamethasone,amitriptyline,1
betamethasone,amlodipine,1
betamethasone,amodiaquine,1
betamethasone,amsacrine,1
betamethasone,apomorphine,1
betamethasone,aprepitant,1
betamethasone,aripiprazole,1
betamethasone,artemether,1
betamethasone,azacitidine,1
betamethasone,azithromycin,1
betamethasone,baclofen,1
betaxolol,acarbose,1
betaxolol,acenocoumarol,1
betaxolol,albendazole,1
betaxolol,amifostine,1
betaxolol,aminophylline,1
betaxolol,amisulpride,1
betaxolol,amitriptyline,1
betaxolol,amlodipine,1
betaxolol,amodiaquine,1
betaxolol,amoxapine,1
betaxolol,apomorphine,1
betaxolol,aripiprazole,1
betaxolol,artemether,1
betaxolol,asenapine,1
betaxolol,atenolol,1
betaxolol,atropine,1
betaxolol,azithromycin,1
betaxolol,baclofen,1
betaxolol,bepridil,1
bethanechol,amikacin,1
bethanechol,atenolol,1
bethanechol,betaxolol,1
bezafibrate,acenocoumarol,1
bezafibrate,amitriptyline,1
bezafibrate,amodiaquine,1
bezafibrate,apomorphine,1
bezafibrate,baclofen,1
bezafibrate,betamethasone,1
bimatoprost,amlodipine,1
bimatoprost,atenolol,1
bimatoprost,bepridil,1
bimatoprost,betaxolol,1
biperiden,acetazolamide,1
biperiden,alprazolam,1
biperiden,amisulpride,1
biperiden,amitriptyline,1
biperiden,amoxapine,1
biperiden,apomorphine,1
biperiden,aripiprazole,1
biperiden,asenapine,1
biperiden,atenolol,1
biperiden,atropine,1
biperiden,baclofen,1
biperiden,benperidol,1
biperiden,bepridil,1
biperiden,betaxolol,1
bisoprolol,acarbose,1
bisoprolol,acetazolamide,1
bisoprolol,allopurinol,1
bisoprolol,alprazolam,1
bisoprolol,amifostine,1
bisoprolol,amikacin,1
bisoprolol,aminophylline,1
bisoprolol,amitriptyline,1
bisoprolol,amlodipine,1
bisoprolol,amodiaquine,1
bisoprolol,amoxapine,1
bisoprolol,amoxicillin,1
bisoprolol,apomorphine,1
bisoprolol,aripiprazole,1
bisoprolol,asenapine,1
bisoprolol,atenolol,1
bisoprolol,atropine,1
bisoprolol,auranofin,1
bisoprolol,azacitidine,1
bisoprolol,aztreonam,1
bisoprolol,bacitracin,1
bisoprolol,baclofen,1
bisoprolol,benserazide,1
bisoprolol,bepridil,1
bisoprolol,betaxolol,1
bisoprolol,bethanechol,1
bisoprolol,bimatoprost,1
bortezomib,acenocoumarol,1
bortezomib,acetazolamide,1
bortezomib,albendazole,1
bortezomib,allopurinol,1
bortezomib,aminophylline,1
bortezomib,amisulpride,1
bortezomib,amitriptyline,1
bortezomib,amodiaquine,1
bortezomib,amoxapine,1
bortezomib,amsacrine,1
bortezomib,apomorphine,1
bortezomib,aprepitant,1
bortezomib,aripiprazole,1
bortezomib,artemether,1
bortezomib,asenapine,1
bortezomib,atenolol,1
bortezomib,atovaquone,1
bortezomib,atropine,1
bortezomib,azacitidine,1
bortezomib,azithromycin,1
bortezomib,bepridil,1
bortezomib,betamethasone,1
bortezomib,betaxolol,1
bortezomib,biperiden,1
bortezomib,bisoprolol,1
bosentan,acarbose,1
bosentan,acenocoumarol,1
bosentan,acetylcysteine,1
bosentan,albendazole,1
bosentan,amifostine,1
bosentan,aminophylline,1
bosentan,amitriptyline,1
bosentan,amlodipine,1
bosentan,amodiaquine,1
bosentan,amoxapine,1
bosentan,apomorphine,1
bosentan,aprepitant,1
bosentan,aripiprazole,1
bosentan,artemether,1
bosentan,asenapine,1
bosentan,atenolol,1
bosentan,atovaquone,1
bosentan,atropine,1
bosentan,azithromycin,1
bosentan,baclofen,1
bosentan,bepridil,1
bosentan,betaxolol,1
bosentan,bezafibrate,1
bosentan,bimatoprost,1
bosentan,bisoprolol,1
bosentan,bortezomib,1
bromocriptine,acarbose,1
bromocriptine,acenocoumarol,1
bromocriptine,acetazolamide,1
bromocriptine,albendazole,1
bromocriptine,alprazolam,1
bromocriptine,amifostine,1
bromocriptine,aminophylline,1
bromocriptine,amisulpride,1
bromocriptine,amitriptyline,1
bromocriptine,amlodipine,1
bromocriptine,amoxapine,1
bromocriptine,apomorphine,1
bromocriptine,aripiprazole,1
bromocriptine,asenapine,1
bromocriptine,atenolol,1
bromocriptine,atropine,1
bromocriptine,azithromycin,1
bromocriptine,baclofen,1
bromocriptine,benperidol,1
bromocriptine,bepridil,1
bromocriptine,betamethasone,1
bromocriptine,betaxolol,1
bromocriptine,biperiden,1
bromocriptine,bisoprolol,1
bromocriptine,bortezomib,1
bromocriptine,bosentan,1
brompheniramine,acetazolamide,1
brompheniramine,alprazolam,1
brompheniramine,amisulpride,1
brompheniramine,amitriptyline,1
brompheniramine,amodiaquine,1
brompheniramine,amoxapine,1
brompheniramine,apomorphine,1
brompheniramine,aripiprazole,1
brompheniramine,artemether,1
brompheniramine,asenapine,1
brompheniramine,atropine,1
brompheniramine,azithromycin,1
brompheniramine,baclofen,1
brompheniramine,benperidol,1
brompheniramine,bepridil,1
brompheniramine,betahistine,1
brompheniramine,betamethasone,1
brompheniramine,betaxolol,1
brompheniramine,biperiden,1
brompheniramine,bortezomib,1
brompheniramine,bromocriptine,1
budesonide,acarbose,1
budesonide,acenocoumarol,1
budesonide,acetazolamide,1
budesonide,albendazole,1
budesonide,allopurinol,1
budesonide,alprazolam,1
budesonide,amikacin,1
budesonide,aminophylline,1
budesonide,amitriptyline,1
budesonide,amlodipine,1
budesonide,amoxicillin,1
budesonide,amsacrine,1
budesonide,apomorphine,1
budesonide,aprepitant,1
budesonide,aripiprazole,1
budesonide,artemether,1
budesonide,asenapine,1
budesonide,atenolol,1
budesonide,atropine,1
budesonide,auranofin,1
budesonide,azacitidine,1
budesonide,azithromycin,1
budesonide,aztreonam,1
budesonide,bacitracin,1
budesonide,baclofen,1
budesonide,benserazide,1
budesonide,betamethasone,1
budesonide,bisoprolol,1
budesonide,bortezomib,1
budesonide,bosentan,1
budesonide,bromocriptine,1
bumetanide,acarbose,1
bumetanide,acetazolamide,1
bumetanide,allopurinol,1
bumetanide,alprazolam,1
bumetanide,alprostadil,1
bumetanide,amifostine,1
bumetanide,amikacin,1
bumetanide,amitriptyline,1
bumetanide,amlodipine,1
bumetanide,amoxicillin,1
bumetanide,apomorphine,1
bumetanide,aripiprazole,1
bumetanide,atenolol,1
bumetanide,auranofin,1
bumetanide,azacitidine,1
bumetanide,aztreonam,1
bumetanide,bacitracin,1
bumetanide,baclofen,1
bumetanide,benserazide,1
bumetanide,bepridil,1
bumetanide,betamethasone,1
bumetanide,betaxolol,1
bumetanide,bezafibrate,1
bumetanide,bisoprolol,1
bumetanide,bosentan,1
bumetanide,bromocriptine,1
bumetanide,budesonide,1
bupivacaine,acetazolamide,1
bupivacaine,amifostine,1
bupivacaine,amitriptyline,1
bupivacaine,amlodipine,1
bupivacaine,amoxapine,1
bupivacaine,apomorphine,1
bupivacaine,aripiprazole,1
bupivacaine,atenolol,1
bupivacaine,bepridil,1
bupivacaine,betaxolol,1
bupivacaine,biperiden,1
bupivacaine,bisoprolol,1
bupivacaine,bortezomib,1
bupivacaine,bosentan,1
bupivacaine,bromocriptine,1
bupivacaine,bumetanide,1
bupropion,acarbose,1
bupropion,acenocoumarol,1
bupropion,acetazolamide,1
bupropion,allopurinol,1
bupropion,alprazolam,1
bupropion,amikacin,1
bupropion,aminophylline,1
bupropion,amisulpride,1
bupropion,amitriptyline,1
bupropion,amodiaquine,1
bupropion,amoxapine,1
bupropion,amoxicillin,1
bupropion,apomorphine,1
bupropion,aprepitant,1
bupropion,aripiprazole,1
bupropion,artemether,1
bupropion,asenapine,1
bupropion,atenolol,1
bupropion,atovaquone,1
bupropion,atropine,1
bupropion,auranofin,1
bupropion,azacitidine,1
bupropion,aztreonam,1
bupropion,bacitracin,1
bupropion,baclofen,1
bupropion,benperidol,1
bupropion,benserazide,1
bupropion,bepridil,1
bupropion,betamethasone,1
bupropion,betaxolol,1
bupropion,biperiden,1
bupropion,bisoprolol,1
bupropion,bortezomib,1
bupropion,bosentan,1
bupropion,bromocriptine,1
bupropion,brompheniramine,1
bupropion,budesonide,1
bupropion,bumetanide,1
bupropion,bupivacaine,1
buspirone,acarbose,1
buspirone,acetazolamide,1
buspirone,allopurinol,1
buspirone,alprazolam,1
buspirone,amikacin,1
buspirone,amitriptyline,1
buspirone,amlodipine,1
buspirone,amoxapine,1
buspirone,amoxicillin,1
buspirone,apomorphine,1
buspirone,aprepitant,1
buspirone,aripiprazole,1
buspirone,artemether,1
buspirone,asenapine,1
buspirone,atenolol,1
buspirone,atropine,1
buspirone,auranofin,1
buspirone,azacitidine,1
buspirone,aztreonam,1
buspirone,bacitracin,1
buspirone,baclofen,1
buspirone,benserazide,1
buspirone,bepridil,1
buspirone,betamethasone,1
buspirone,betaxolol,1
buspirone,biperiden,1
buspirone,bisoprolol,1
buspirone,bortezomib,1
buspirone,bosentan,1
buspirone,bromocriptine,1
buspirone,budesonide,1
buspirone,bumetanide,1
buspirone,bupivacaine,1
buspirone,bupropion,1
busulfan,acenocoumarol,1
busulfan,acetazolamide,1
busulfan,albendazole,1
busulfan,allopurinol,1
busulfan,amsacrine,1
busulfan,aprepitant,1
busulfan,azacitidine,1
busulfan,azithromycin,1
busulfan,betamethasone,1
busulfan,bortezomib,1
busulfan,bosentan,1
busulfan,bromocriptine,1
busulfan,budesonide,1
cabergoline,acenocoumarol,1
cabergoline,acetazolamide,1
cabergoline,albendazole,1
cabergoline,alprazolam,1
cabergoline,aminophylline,1
cabergoline,amisulpride,1
cabergoline,amitriptyline,1
cabergoline,amlodipine,1
cabergoline,amoxapine,1
cabergoline,apomorphine,1
cabergoline,aprepitant,1
cabergoline,aripiprazole,1
cabergoline,asenapine,1
cabergoline,atenolol,1
cabergoline,atropine,1
cabergoline,azithromycin,1
cabergoline,baclofen,1
cabergoline,benperidol,1
cabergoline,bepridil,1
cabergoline,betamethasone,1
cabergoline,betaxolol,1
cabergoline,biperiden,1
cabergoline,bisoprolol,1
cabergoline,bortezomib,1
cabergoline,bosentan,1
cabergoline,bromocriptine,1
cabergoline,brompheniramine,1
cabergoline,budesonide,1
cabergoline,bupropion,1
cabergoline,buspirone,1
cabergoline,busulfan,1
caffeine,acenocoumarol,1
caffeine,acetazolamide,1
caffeine,albendazole,1
caffeine,allopurinol,1
caffeine,alprazolam,1
caffeine,aminophylline,1
caffeine,amitriptyline,1
caffeine,asenapine,1
caffeine,atenolol,1
caffeine,betaxolol,1
caffeine,bisoprolol,1
caffeine,bortezomib,1
capecitabine,acarbose,1
capecitabine,acenocoumarol,1
capecitabine,acetazolamide,1
capecitabine,allopurinol,1
capecitabine,alprazolam,1
capecitabine,amikacin,1
capecitabine,amitriptyline,1
capecitabine,amodiaquine,1
capecitabine,amoxicillin,1
capecitabine,amsacrine,1
capecitabine,aprepitant,1
capecitabine,artemether,1
capecitabine,atovaquone,1
capecitabine,auranofin,1
capecitabine,azacitidine,1
capecitabine,aztreonam,1
capecitabine,bacitracin,1
capecitabine,baclofen,1
capecitabine,benserazide,1
capecitabine,betamethasone,1
capecitabine,bisoprolol,1
capecitabine,bortezomib,1
capecitabine,bosentan,1
capecitabine,budesonide,1
capecitabine,bumetanide,1
capecitabine,bupropion,1
capecitabine,buspirone,1
capecitabine,busulfan,1
capsaicin,acenocoumarol,1
capsaicin,albendazole,1
capsaicin,alprazolam,1
capsaicin,aminophylline,1
capsaicin,amitriptyline,1
capsaicin,amoxapine,1
capsaicin,aripiprazole,1
capsaicin,asenapine,1
capsaicin,atenolol,1
capsaicin,atropine,1
capsaicin,azithromycin,1
capsaicin,betamethasone,1
capsaicin,betaxolol,1
capsaicin,bethanechol,1
capsaicin,biperiden,1
capsaicin,bisoprolol,1
capsaicin,bortezomib,1
capsaicin,brompheniramine,1
capsaicin,budesonide,1
capsaicin,busulfan,1
capsaicin,cabergoline,1
capsaicin,caffeine,1
captopril,acetazolamide,1
captopril,allopurinol,1
captopril,alprostadil,1
captopril,amifostine,1
captopril,amitriptyline,1
captopril,amlodipine,1
captopril,amoxapine,1
captopril,amoxicillin,1
captopril,apomorphine,1
captopril,aripiprazole,1
captopril,asenapine,1
captopril,atenolol,1
captopril,atropine,1
captopril,baclofen,1
captopril,bepridil,1
captopril,betamethasone,1
captopril,betaxolol,1
captopril,bezafibrate,1
captopril,bimatoprost,1
captopril,bisoprolol,1
captopril,bosentan,1
captopril,bromocriptine,1
captopril,bumetanide,1
captopril,bupivacaine,1
captopril,buspirone,1
captopril,cabergoline,1
carbachol,amikacin,1
carbachol,atenolol,1
carbachol,betaxolol,1
carbachol,bisoprolol,1
carbachol,capsaicin,1
carbamazepine,acarbose,1
carbamazepine,acenocoumarol,1
carbamazepine,acetazolamide,1
carbamazepine,albendazole,1
carbamazepine,allopurinol,1
carbamazepine,alprazolam,1
carbamazepine,amikacin,1
carbamazepine,aminophylline,1
carbamazepine,amisulpride,1
carbamazepine,amitriptyline,1
carbamazepine,amoxapine,1
carbamazepine,amoxicillin,1
carbamazepine,amsacrine,1
carbamazepine,apomorphine,1
carbamazepine,aprepitant,1
carbamazepine,aripiprazole,1
carbamazepine,artemether,1
carbamazepine,asenapine,1
carbamazepine,atropine,1
carbamazepine,auranofin,1
carbamazepine,azacitidine,1
carbamazepine,azithromycin,1
carbamazepine,aztreonam,1
carbamazepine,bacitracin,1
carbamazepine,baclofen,1
carbamazepine,benperidol,1
carbamazepine,benserazide,1
carbamazepine,betamethasone,1
carbamazepine,betaxolol,1
carbamazepine,biperiden,1
carbamazepine,bisoprolol,1
carbamazepine,bortezomib,1
carbamazepine,bosentan,1
carbamazepine,bromocriptine,1
carbamazepine,brompheniramine,1
carbamazepine,budesonide,1
carbamazepine,bumetanide,1
carbamazepine,bupivacaine,1
carbamazepine,bupropion,1
carbamazepine,buspirone,1
carbamazepine,busulfan,1
carbamazepine,cabergoline,1
carbamazepine,caffeine,1
carbamazepine,capecitabine,1
carbamazepine,capsaicin,1
carbidopa,acarbose,1
carbidopa,acetazolamide,1
carbidopa,allopurinol,1
carbidopa,alprazolam,1
carbidopa,amikacin,1
carbidopa,amisulpride,1
carbidopa,amitriptyline,1
carbidopa,amlodipine,1
carbidopa,amoxapine,1
carbidopa,amoxicillin,1
carbidopa,aripiprazole,1
carbidopa,asenapine,1
carbidopa,atenolol,1
carbidopa,auranofin,1
carbidopa,azacitidine,1
carbidopa,aztreonam,1
carbidopa,bacitracin,1
carbidopa,baclofen,1
carbidopa,benserazide,1
carbidopa,bepridil,1
carbidopa,betaxolol,1
carbidopa,bisoprolol,1
carbidopa,bosentan,1
carbidopa,budesonide,1
carbidopa,bumetanide,1
carbidopa,bupropion,1
carbidopa,buspirone,1
carbidopa,capecitabine,1
carbidopa,captopril,1
carbidopa,carbamazepine,1
carteolol,amlodipine,1
carteolol,atenolol,1
carteolol,atropine,1
carteolol,bepridil,1
carteolol,betaxolol,1
carteolol,bimatoprost,1
carteolol,bisoprolol,1
carteolol,bosentan,1
carteolol,captopril,1
carvedilol,acarbose,1
carvedilol,acenocoumarol,1
carvedilol,albendazole,1
carvedilol,amifostine,1
carvedilol,aminophylline,1
carvedilol,amitriptyline,1
carvedilol,amlodipine,1
carvedilol,amodiaquine,1
carvedilol,amoxapine,1
carvedilol,apomorphine,1
carvedilol,aprepitant,1
carvedilol,aripiprazole,1
carvedilol,artemether,1
carvedilol,asenapine,1
carvedilol,atenolol,1
carvedilol,atovaquone,1
carvedilol,atropine,1
carvedilol,baclofen,1
carvedilol,bepridil,1
carvedilol,betaxolol,1
carvedilol,bethanechol,1
carvedilol,bimatoprost,1
carvedilol,biperiden,1
carvedilol,bisoprolol,1
carvedilol,bortezomib,1
carvedilol,bosentan,1
carvedilol,bromocriptine,1
carvedilol,bumetanide,1
carvedilol,bupivacaine,1
carvedilol,bupropion,1
carvedilol,buspirone,1
carvedilol,cabergoline,1
carvedilol,caffeine,1
carvedilol,capecitabine,1
carvedilol,capsaicin,1
carvedilol,captopril,1
carvedilol,carbachol,1
carvedilol,carbamazepine,1
carvedilol,carbidopa,1
carvedilol,carteolol,1
cefadroxil,acarbose,1
cefadroxil,acenocoumarol,1
cefadroxil,acetazolamide,1
cefadroxil,allopurinol,1
cefadroxil,alprazolam,1
cefadroxil,alprostadil,1
cefadroxil,amikacin,1
cefadroxil,amitriptyline,1
cefadroxil,amoxicillin,1
cefadroxil,auranofin,1
cefadroxil,azacitidine,1
cefadroxil,aztreonam,1
cefadroxil,bacitracin,1
cefadroxil,baclofen,1
cefadroxil,benserazide,1
cefadroxil,bisoprolol,1
cefadroxil,budesonide,1
cefadroxil,bumetanide,1
cefadroxil,bupropion,1
cefadroxil,buspirone,1
cefadroxil,capecitabine,1
cefadroxil,captopril,1
cefadroxil,carbamazepine,1
cefadroxil,carbidopa,1
cefazolin,acarbose,1
cefazolin,acenocoumarol,1
cefazolin,acetazolamide,1
cefazolin,allopurinol,1
cefazolin,alprazolam,1
cefazolin,alprostadil,1
cefazolin,amikacin,1
cefazolin,amitriptyline,1
cefazolin,amoxicillin,1
cefazolin,auranofin,1
cefazolin,azacitidine,1
cefazolin,aztreonam,1
cefazolin,bacitracin,1
cefazolin,baclofen,1
cefazolin,benserazide,1
cefazolin,bisoprolol,1
cefazolin,budesonide,1
cefazolin,bumetanide,1
cefazolin,bupropion,1
cefazolin,buspirone,1
cefazolin,capecitabine,1
cefazolin,captopril,1
cefazolin,carbamazepine,1
cefazolin,carbidopa,1
cefazolin,cefadroxil,1
cefdinir,acarbose,1
cefdinir,acenocoumarol,1
cefdinir,acetazolamide,1
cefdinir,allopurinol,1
cefdinir,alprazolam,1
cefdinir,alprostadil,1
cefdinir,amikacin,1
cefdinir,amitriptyline,1
cefdinir,amoxicillin,1
cefdinir,auranofin,1
cefdinir,azacitidine,1
cefdinir,aztreonam,1
cefdinir,bacitracin,1
cefdinir,baclofen,1
cefdinir,benserazide,1
cefdinir,bisoprolol,1
cefdinir,budesonide,1
cefdinir,bumetanide,1
cefdinir,bupropion,1
cefdinir,buspirone,1
cefdinir,capecitabine,1
cefdinir,captopril,1
cefdinir,carbamazepine,1
cefdinir,carbidopa,1
cefdinir,cefadroxil,1
cefdinir,cefazolin,1
cefixime,acenocoumarol,1
cefmetazole,acarbose,1
cefmetazole,acenocoumarol,1
cefmetazole,allopurinol,1
cefmetazole,alprazolam,1
cefmetazole,amikacin,1
cefmetazole,amitriptyline,1
cefmetazole,amoxicillin,1
cefmetazole,auranofin,1
cefmetazole,azacitidine,1
cefmetazole,aztreonam,1
cefmetazole,bacitracin,1
cefmetazole,baclofen,1
cefmetazole,benserazide,1
cefmetazole,bisoprolol,1
cefmetazole,budesonide,1
cefmetazole,bumetanide,1
cefmetazole,bupropion,1
cefmetazole,buspirone,1
cefmetazole,capecitabine,1
cefmetazole,carbamazepine,1
cefmetazole,carbidopa,1
cefmetazole,cefadroxil,1
cefmetazole,cefazolin,1
cefmetazole,cefdinir,1
ceftazidime,acarbose,1
ceftazidime,acenocoumarol,1
ceftazidime,acetazolamide,1
ceftazidime,allopurinol,1
ceftazidime,alprazolam,1
ceftazidime,alprostadil,1
ceftazidime,amikacin,1
ceftazidime,amitriptyline,1
ceftazidime,amoxicillin,1
ceftazidime,auranofin,1
ceftazidime,azacitidine,1
ceftazidime,aztreonam,1
ceftazidime,bacitracin,1
ceftazidime,baclofen,1
ceftazidime,benserazide,1
ceftazidime,bisoprolol,1
ceftazidime,budesonide,1
ceftazidime,bumetanide,1
ceftazidime,bupropion,1
ceftazidime,buspirone,1
ceftazidime,capecitabine,1
ceftazidime,captopril,1
ceftazidime,carbamazepine,1
ceftazidime,carbidopa,1
ceftazidime,cefadroxil,1
ceftazidime,cefazolin,1
ceftazidime,cefdinir,1
ceftazidime,cefmetazole,1
celecoxib,acarbose,1
celecoxib,acenocoumarol,1
celecoxib,allopurinol,1
celecoxib,alprazolam,1
celecoxib,amikacin,1
celecoxib,amitriptyline,1
celecoxib,amodiaquine,1
celecoxib,amoxapine,1
celecoxib,amoxicillin,1
celecoxib,apomorphine,1
celecoxib,aprepitant,1
celecoxib,aripiprazole,1
celecoxib,artemether,1
celecoxib,asenapine,1
celecoxib,atenolol,1
celecoxib,atovaquone,1
celecoxib,atropine,1
celecoxib,auranofin,1
celecoxib,azacitidine,1
celecoxib,aztreonam,1
celecoxib,bacitracin,1
celecoxib,baclofen,1
celecoxib,benserazide,1
celecoxib,benzocaine,1
celecoxib,bepridil,1
celecoxib,betamethasone,1
celecoxib,betaxolol,1
celecoxib,bezafibrate,1
celecoxib,bimatoprost,1
celecoxib,biperiden,1
celecoxib,bisoprolol,1
celecoxib,bortezomib,1
celecoxib,bosentan,1
celecoxib,bromocriptine,1
celecoxib,budesonide,1
celecoxib,bumetanide,1
celecoxib,bupivacaine,1
celecoxib,bupropion,1
celecoxib,buspirone,1
celecoxib,cabergoline,1
celecoxib,caffeine,1
celecoxib,capecitabine,1
celecoxib,captopril,1
